info_I,visibility_V,x,intensity,landauer_energy_j
0.100000,0.994987,0.175000,0.72585742,2.870978885079e-22
0.100000,0.994987,0.200000,0.65373401,2.870978885079e-22
0.100000,0.994987,0.225000,0.57782516,2.870978885079e-22
0.100000,0.994987,0.250000,0.50000000,2.870978885079e-22
0.100000,0.994987,0.275000,0.42217484,2.870978885079e-22
0.100000,0.994987,0.300000,0.34626599,2.870978885079e-22
0.100000,0.994987,0.325000,0.27414258,2.870978885079e-22
0.100000,0.994987,0.350000,0.20758053,2.870978885079e-22
0.100000,0.994987,0.375000,0.14821882,2.870978885079e-22
0.100000,0.994987,0.400000,0.09751913,2.870978885079e-22
0.100000,0.994987,0.425000,0.05672985,2.870978885079e-22
0.100000,0.994987,0.450000,0.02685536,2.870978885079e-22
0.100000,0.994987,0.475000,0.00863125,2.870978885079e-22
0.100000,0.994987,0.500000,0.00250628,2.870978885079e-22
0.100000,0.994987,0.525000,0.00863125,2.870978885079e-22
0.100000,0.994987,0.550000,0.02685536,2.870978885079e-22
0.100000,0.994987,0.575000,0.05672985,2.870978885079e-22
0.100000,0.994987,0.600000,0.09751913,2.870978885079e-22
0.100000,0.994987,0.625000,0.14821882,2.870978885079e-22
0.100000,0.994987,0.650000,0.20758053,2.870978885079e-22
0.100000,0.994987,0.675000,0.27414258,2.870978885079e-22
0.100000,0.994987,0.700000,0.34626599,2.870978885079e-22
0.100000,0.994987,0.725000,0.42217484,2.870978885079e-22
0.100000,0.994987,0.750000,0.50000000,2.870978885079e-22
0.100000,0.994987,0.775000,0.57782516,2.870978885079e-22
0.100000,0.994987,0.800000,0.65373401,2.870978885079e-22
0.100000,0.994987,0.825000,0.72585742,2.870978885079e-22
0.100000,0.994987,0.850000,0.79241947,2.870978885079e-22
0.100000,0.994987,0.875000,0.85178118,2.870978885079e-22
0.100000,0.994987,0.900000,0.90248087,2.870978885079e-22
0.100000,0.994987,0.925000,0.94327015,2.870978885079e-22
0.100000,0.994987,0.950000,0.97314464,2.870978885079e-22
0.100000,0.994987,0.975000,0.99136875,2.870978885079e-22
0.100000,0.994987,1.000000,0.99749372,2.870978885079e-22
0.150000,0.988686,0.000000,0.99434300,4.306468327618e-22
0.150000,0.988686,0.025000,0.98825682,4.306468327618e-22
0.150000,0.988686,0.050000,0.97014813,4.306468327618e-22
0.150000,0.988686,0.075000,0.94046284,4.306468327618e-22
0.150000,0.988686,0.100000,0.89993189,4.306468327618e-22
0.150000,0.988686,0.125000,0.84955329,4.306468327618e-22
0.150000,0.988686,0.150000,0.79056752,4.306468327618e-22
0.150000,0.988686,0.175000,0.72442702,4.306468327618e-22
0.150000,0.988686,0.200000,0.65276039,4.306468327618e-22
0.150000,0.988686,0.225000,0.57733228,4.306468327618e-22
0.150000,0.988686,0.250000,0.50000000,4.306468327618e-22
0.150000,0.988686,0.275000,0.42266772,4.306468327618e-22
0.150000,0.988686,0.300000,0.34723961,4.306468327618e-22
0.150000,0.988686,0.325000,0.27557298,4.306468327618e-22
0.150000,0.988686,0.350000,0.20943248,4.306468327618e-22
0.150000,0.988686,0.375000,0.15044671,4.306468327618e-22
0.150000,0.988686,0.400000,0.10006811,4.306468327618e-22
0.150000,0.988686,0.425000,0.05953716,4.306468327618e-22
0.150000,0.988686,0.450000,0.02985187,4.306468327618e-22
0.150000,0.988686,0.475000,0.01174318,4.306468327618e-22
0.150000,0.988686,0.500000,0.00565700,4.306468327618e-22
0.150000,0.988686,0.525000,0.01174318,4.306468327618e-22
0.150000,0.988686,0.550000,0.02985187,4.306468327618e-22
0.150000,0.988686,0.575000,0.05953716,4.306468327618e-22
0.150000,0.988686,0.600000,0.10006811,4.306468327618e-22
0.150000,0.988686,0.625000,0.15044671,4.306468327618e-22
0.150000,0.988686,0.650000,0.20943248,4.306468327618e-22
0.150000,0.988686,0.675000,0.27557298,4.306468327618e-22
0.150000,0.988686,0.700000,0.34723961,4.306468327618e-22
0.150000,0.988686,0.725000,0.42266772,4.306468327618e-22
0.150000,0.988686,0.750000,0.50000000,4.306468327618e-22
0.150000,0.988686,0.775000,0.57733228,4.306468327618e-22
0.150000,0.988686,0.800000,0.65276039,4.306468327618e-22
0.150000,0.988686,0.825000,0.72442702,4.306468327618e-22
0.150000,0.988686,0.850000,0.79056752,4.306468327618e-22
0.150000,0.988686,0.875000,0.84955329,4.306468327618e-22
0.150000,0.988686,0.900000,0.89993189,4.306468327618e-22
0.150000,0.988686,0.925000,0.94046284,4.306468327618e-22
0.150000,0.988686,0.950000,0.97014813,4.306468327618e-22
0.150000,0.988686,0.975000,0.98825682,4.306468327618e-22
0.150000,0.988686,1.000000,0.99434300,4.306468327618e-22
0.200000,0.979796,0.000000,0.98989795,5.741957770157e-22
0.200000,0.979796,0.025000,0.98386649,5.741957770157e-22
0.200000,0.979796,0.050000,0.96592064,5.741957770157e-22
0.200000,0.979796,0.075000,0.93650227,5.741957770157e-22
0.200000,0.979796,0.100000,0.89633577,5.741957770157e-22
0.200000,0.979796,0.125000,0.84641016,5.741957770157e-22
0.200000,0.979796,0.150000,0.78795479,5.741957770157e-22
0.200000,0.979796,0.175000,0.72240901,5.741957770157e-22
