x,y,rho
-23.25,-3.75,1.0734464777642e-14
-23.25,-3.25,2.891990999841e-14
-23.25,-2.75,7.0473368711205e-14
-23.25,-2.25,1.4330435132884e-13
-23.25,-1.75,2.523550609815e-13
-23.25,-1.25,3.4116447134468e-13
-23.25,-0.75,3.2014730097168e-13
-23.25,-0.25,5.4384130609909e-13
-23.25,0.25,5.4384130609517e-13
-23.25,0.75,3.2014730097331e-13
-23.25,1.25,3.411644713486e-13
-23.25,1.75,2.5235506098528e-13
-23.25,2.25,1.4330435133522e-13
-23.25,2.75,7.0473368704152e-14
-23.25,3.25,2.8919909996963e-14
-23.25,3.75,1.0734464776043e-14
-23.25,4.25,3.6878099839532e-15
-23.25,4.75,1.1210820516882e-15
-23.25,5.25,2.4831896047956e-16
-23.25,5.75,3.2221015832408e-17
-23.25,6.25,6.2278026139262e-18
-23.25,6.75,2.7316109659926e-18
-23.25,7.25,5.5969321221575e-19
-23.25,7.75,3.2838011027553e-20
-23.25,8.25,2.876009078857e-20
-23.25,8.75,1.7862150987087e-20
-23.25,9.25,5.9740754894784e-21
-23.25,9.75,2.3893755462546e-21
-23.25,10.25,1.0334654562385e-21
-23.25,10.75,4.4314021159538e-22
-23.25,11.25,2.0764342968396e-22
-23.25,11.75,1.077139568889e-22
-23.25,12.25,6.1105982463433e-23
-23.25,12.75,3.5373690830747e-23
-23.25,13.25,2.1682109082084e-23
-23.25,13.75,1.4142256737345e-23
-23.25,14.25,9.7894034992858e-24
-23.25,14.75,7.109043856346e-24
-23.25,15.25,5.3617388765316e-24
-23.25,15.75,4.1343525877658e-24
-23.25,16.25,3.2248077732761e-24
-23.25,16.75,2.5257516857408e-24
-23.25,17.25,1.9747134258292e-24
-23.25,17.75,1.5348951846558e-24
-23.25,18.25,1.1827914276475e-24
-23.25,18.75,9.0126261045319e-25
-23.25,19.25,6.770791360707e-25
-23.25,19.75,4.9953633592218e-25
-23.25,20.25,3.6000441301485e-25
-23.25,20.75,2.5142834056987e-25
-23.25,21.25,1.6815198798237e-25
-23.25,21.75,1.056153494361e-25
-23.25,22.25,6.020374125658e-26
-23.25,22.75,2.9048303759099e-26
-23.25,23.25,9.9127821457097e-27
-23.25,23.75,1.0414212089601e-27
-22.75,-23.75,9.8044812786361e-28
-22.75,-23.25,9.4329444216239e-27
-22.75,-22.75,2.7840267068965e-26
-22.75,-22.25,5.7996814401757e-26
-22.75,-21.75,1.0216063034522e-25
-22.75,-21.25,1.6319116112785e-25
-22.75,-20.75,2.4471326271162e-25
-22.75,-20.25,3.5124562037259e-25
-22.75,-19.75,4.8847966497793e-25
-22.75,-19.25,6.6347288925539e-25
-22.75,-18.75,8.8516543957916e-25
-22.75,-18.25,1.1649485414322e-24
-22.75,-17.75,1.5180190619387e-24
-22.75,-17.25,1.9659044943992e-24
-22.75,-16.75,2.5422519421189e-24
-22.75,-16.25,3.3049938515306e-24
-22.75,-15.75,4.3576605408934e-24
-22.75,-15.25,5.8855678456055e-24
-22.75,-14.75,8.2444116078906e-24
-22.75,-14.25,1.2131349723034e-23
-22.75,-13.75,1.8797320226317e-23
-22.75,-13.25,3.0828670294509e-23
-22.75,-12.75,5.3149854327421e-23
-22.75,-12.25,9.6287228433124e-23
