state,channel,pathWeight0,pathWeight1,fringeVisibility_V,whichPathDistinguishability_I,V_sq_plus_I_sq
plus,identity,0.5000000000,0.5000000000,1.0000000000,0.0000000000,1.000000000000
plus,which_path,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.000000000000
zero,identity,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.000000000000
zero,which_path,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.000000000000
one,identity,0.0000000000,1.0000000000,0.0000000000,1.0000000000,1.000000000000
one,which_path,0.0000000000,1.0000000000,0.0000000000,1.0000000000,1.000000000000
