sin_theta,intensity_norm
-0.02,0.57278669718492
-0.01999,0.57310297920067
-0.01998,0.57337394643618
-0.01997,0.57359952918191
-0.01996,0.57377966491626
-0.01995,0.573914298324
-0.01994,0.57400338131361
-0.01993,0.57404687303333
-0.01992,0.5740447398862
-0.01991,0.57399695554391
-0.0199,0.57390350095941
-0.01989,0.57376436437846
-0.01988,0.57357954134998
-0.01987,0.57334903473519
-0.01986,0.57307285471564
-0.01985,0.57275101880005
-0.01984,0.57238355182993
-0.01983,0.57197048598407
-0.01982,0.57151186078185
-0.01981,0.57100772308533
-0.0198,0.57045812710019
-0.01979,0.56986313437546
-0.01978,0.56922281380207
-0.01977,0.56853724161024
-0.01976,0.56780650136564
-0.01975,0.56703068396436
-0.01974,0.56620988762677
-0.01973,0.56534421789002
-0.01972,0.56443378759955
-0.01971,0.56347871689928
-0.0197,0.56247913322064
-0.01969,0.56143517127038
-0.01968,0.56034697301732
-0.01967,0.55921468767769
-0.01966,0.55803847169951
-0.01965,0.55681848874562
-0.01964,0.55555490967561
-0.01963,0.55424791252654
-0.01962,0.55289768249247
-0.01961,0.55150441190283
-0.0196,0.5500683001996
-0.01959,0.54858955391332
-0.01958,0.54706838663791
-0.01957,0.54550501900435
-0.01956,0.54389967865321
-0.01955,0.54225260020589
-0.01954,0.54056402523492
-0.01953,0.53883420223286
-0.01952,0.53706338658025
-0.01951,0.53525184051229
-0.0195,0.53339983308439
-0.01949,0.53150764013667
-0.01948,0.52957554425716
-0.01947,0.52760383474404
-0.01946,0.52559280756664
-0.01945,0.52354276532535
-0.01944,0.52145401721044
-0.01943,0.51932687895973
-0.01942,0.51716167281516
-0.01941,0.51495872747832
-0.0194,0.51271837806479
-0.01939,0.51044096605746
-0.01938,0.50812683925874
-0.01937,0.50577635174173
-0.01936,0.50338986380029
-0.01935,0.50096774189803
-0.01934,0.49851035861634
-0.01933,0.49601809260122
-0.01932,0.49349132850925
-0.01931,0.49093045695235
-0.0193,0.4883358744417
-0.01929,0.48570798333047
-0.01928,0.48304719175567
-0.01927,0.48035391357893
-0.01926,0.47762856832632
-0.01925,0.47487158112718
-0.01924,0.47208338265201
-0.01923,0.46926440904932
-0.01922,0.46641510188157
-0.01921,0.46353590806021
-0.0192,0.46062727977972
-0.01919,0.4576896744507
-0.01918,0.45472355463218
-0.01917,0.45172938796282
-0.01916,0.44870764709141
-0.01915,0.44565880960636
-0.01914,0.44258335796438
-0.01913,0.43948177941822
-0.01912,0.43635456594367
-0.01911,0.43320221416559
-0.0191,0.43002522528321
-0.01909,0.42682410499455
-0.01908,0.42359936342009
-0.01907,0.42035151502551
-0.01906,0.41708107854383
-0.01905,0.41378857689666
-0.01904,0.41047453711464
-0.01903,0.40713949025731
-0.01902,0.40378397133204
-0.01901,0.40040851921234
-0.019,0.39701367655549
-0.01899,0.39359998971938
-0.01898,0.39016800867867
-0.01897,0.38671828694038
-0.01896,0.3832513814587
-0.01895,0.37976785254919
-0.01894,0.37626826380235
-0.01893,0.37275318199661
-0.01892,0.3692231770106
-0.01891,0.36567882173494
-0.0189,0.36212069198336
-0.01889,0.35854936640335
-0.01888,0.35496542638612
-0.01887,0.35136945597616
-0.01886,0.34776204178018
-0.01885,0.34414377287556
-0.01884,0.34051524071834
-0.01883,0.33687703905067
-0.01882,0.33322976380783
-0.01881,0.32957401302479
-0.0188,0.3259103867423
-0.01879,0.3222394869126
-0.01878,0.3185619173047
-0.01877,0.31487828340926
-0.01876,0.31118919234306
-0.01875,0.30749525275321
-0.01874,0.30379707472089
-0.01873,0.30009526966479
-0.01872,0.29639045024429
-0.01871,0.29268323026228
-0.0187,0.28897422456765
-0.01869,0.28526404895765
-0.01868,0.28155332007981
-0.01867,0.2778426553338
-0.01866,0.27413267277288
-0.01865,0.2704239910053
-0.01864,0.26671722909543
-0.01863,0.2630130064647
-0.01862,0.25931194279241
-0.01861,0.25561465791634
-0.0186,0.25192177173336
-0.01859,0.24823390409973
-0.01858,0.24455167473147
-0.01857,0.24087570310457
-0.01856,0.23720660835511
-0.01855,0.23354500917941
-0.01854,0.22989152373406
-0.01853,0.226246769536
-0.01852,0.22261136336254
-0.01851,0.21898592115144
-0.0185,0.21537105790099
-0.01849,0.21176738757018
-0.01848,0.20817552297881
-0.01847,0.20459607570791
-0.01846,0.20102965599996
-0.01845,0.19747687265949
-0.01844,0.19393833295364
-0.01843,0.19041464251292
-0.01842,0.18690640523214
-0.01841,0.18341422317149
-0.0184,0.17993869645783
-0.01839,0.17648042318617
-0.01838,0.17303999932139
-0.01837,0.16961801860023
-0.01836,0.16621507243346
-0.01835,0.1628317498084
-0.01834,0.15946863719167
-0.01833,0.15612631843232
-0.01832,0.15280537466517
-0.01831,0.1495063842146
-0.0183,0.14622992249864
-0.01829,0.1429765619334
-0.01828,0.13974687183796
-0.01827,0.13654141833961
-0.01826,0.13336076427949
-0.01825,0.13020546911872
-0.01824,0.12707608884494
-0.01823,0.12397317587931
-0.01822,0.12089727898399
-0.01821,0.11784894317017
-0.0182,0.11482870960652
-0.01819,0.11183711552821
-0.01818,0.1088746941465
-0.01817,0.10594197455884
-0.01816,0.10303948165955
-0.01815,0.10016773605111
-0.01814,0.097327253956016
-0.01813,0.094518547129284
-0.01812,0.091742122771562
-0.01811,0.088998483442909
-0.0181,0.086288126977208
-0.01809,0.083611546397274
-0.01808,0.080969229830644
-0.01807,0.078361660426072
-0.01806,0.075789316270739
-0.01805,0.073252670308192
-0.01804,0.070752190257041
-0.01803,0.068288338530406
-0.01802,0.065861572156136
-0.01801,0.063472342697821
-0.018,0.061121096176604
-0.01799,0.058808272993806
-0.01798,0.05653430785438
-0.01797,0.054299629691199
-0.01796,0.052104661590213
-0.01795,0.04994982071646
-0.01794,0.047835518240959
-0.01793,0.045762159268502
-0.01792,0.043730142766345
-0.01791,0.041739861493823
-0.0179,0.039791701932883
-0.01789,0.037886044219575
-0.01788,0.036023262076487
-0.01787,0.03420372274615
-0.01786,0.032427786925416
-0.01785,0.030695808700835
-0.01784,0.029008135485024
-0.01783,0.027365107954053
-0.01782,0.025767059985856
-0.01781,0.024214318599669
-0.0178,0.022707203896522
-0.01779,0.021246029000783
-0.01778,0.019831100002767
-0.01777,0.018462715902427
-0.01776,0.01714116855413
-0.01775,0.015866742612522
-0.01774,0.014639715479515
-0.01773,0.013460357252383
-0.01772,0.012328930672978
-0.01771,0.011245691078094
-0.0177,0.010210886350965
-0.01769,0.009224756873926
-0.01768,0.0082875354822288
-0.01767,0.0073994474190323
-0.01766,0.0065607102915732
-0.01765,0.0057715340285239
-0.01764,0.0050321208385452
-0.01763,0.0043426651700439
-0.01762,0.0037033536721428
-0.01761,0.0031143651568679
-0.0176,0.0025758705625638
-0.01759,0.0020880329185418
-0.01758,0.0016510073109685
-0.01757,0.001264940850002
-0.01756,0.00092997263818145
-0.01755,0.00064623374007766
-0.01754,0.00041384715320867
