x,V,rho
-18.84667969,0,0.0071547428891278
-18.83300781,0,0.007321485333675
-18.81933594,0,0.0074915538478943
-18.80566406,0,0.0076650000190388
-18.79199219,0,0.0078418758363058
-18.77832031,0,0.0080222336868191
-18.76464844,0,0.0082061264002104
-18.75097656,0,0.0083936072050208
-18.73730469,0,0.0085847297315075
-18.72363281,0,0.008779547992785
-18.70996094,0,0.0089781164079883
-18.69628906,0,0.0091804898273476
-18.68261719,0,0.0093867234500422
-18.66894531,0,0.0095968727584482
-18.65527344,0,0.0098109936626011
-18.64160156,0,0.010029142481424
-18.62792969,0,0.010251375725981
-18.61425781,0,0.010477750439921
-18.60058594,0,0.010708323741394
-18.58691406,0,0.010943153224149
-18.57324219,0,0.011182296812739
-18.55957031,0,0.011425812555739
-18.54589844,0,0.011673758927598
-18.53222656,0,0.011926194629977
-18.51855469,0,0.012183178603784
-18.50488281,0,0.012444769945058
-18.49121094,0,0.012711028229918
-18.47753906,0,0.01298201297854
-18.46386719,0,0.013257783996408
-18.45019531,0,0.013538401395979
-18.43652344,0,0.013823925246113
-18.42285156,0,0.014114416078412
-18.40917969,0,0.01440993424868
-18.39550781,0,0.014710540518149
-18.38183594,0,0.015016295474045
-18.36816406,0,0.015327260098522
-18.35449219,0,0.01564349524307
-18.34082031,0,0.015965061912281
-18.32714844,0,0.016292021184417
-18.31347656,0,0.016624434152033
-18.29980469,0,0.016962361750219
-18.28613281,0,0.017305865236289
-18.27246094,0,0.017655005598284
-18.25878906,0,0.018009843851176
-18.24511719,0,0.018370440962564
-18.23144531,0,0.018736857849663
-18.21777344,0,0.019109155171595
-18.20410156,0,0.019487393610915
-18.19042969,0,0.019871633745071
-18.17675781,0,0.020261935927302
-18.16308594,0,0.0206583602015
-18.14941406,0,0.021060966601532
-18.13574219,0,0.021469814907143
